sample_index,true_label,raw_pred,raw_confidence,adjusted_pred,adjusted_confidence,raw_prob_NORM,raw_prob_MI,raw_prob_STTC,raw_prob_CD,raw_prob_HYP
27,CD,CD,0.986326,CD,0.985735,0.000577,0.008114,0.000171,0.986326,0.004813
28,NORM,NORM,0.781069,NORM,0.802594,0.781069,0.010057,0.004861,0.163417,0.040597
29,NORM,NORM,0.672446,NORM,0.704112,0.672446,0.003121,0.007420,0.309807,0.007208
30,NORM,NORM,0.835366,NORM,0.854818,0.835366,0.012905,0.006078,0.143700,0.001952
31,MI,MI,0.425557,MI,0.401385,0.359946,0.425557,0.001092,0.194683,0.018723
32,CD,NORM,0.516609,NORM,0.548853,0.516609,0.004231,0.029450,0.354863,0.094846
33,MI,NORM,0.516127,NORM,0.551022,0.516127,0.286746,0.026881,0.125273,0.044973
34,NORM,NORM,0.916417,NORM,0.926417,0.916417,0.041240,0.001550,0.031421,0.009372
35,NORM,NORM,0.808630,NORM,0.825176,0.808630,0.060388,0.010090,0.047931,0.072962
36,NORM,STTC,0.643136,STTC,0.640361,0.025339,0.301648,0.643136,0.027652,0.002225
37,NORM,NORM,0.523175,NORM,0.549775,0.523175,0.005964,0.214592,0.057054,0.199215
38,HYP,HYP,0.899982,HYP,0.908571,0.000444,0.019487,0.079023,0.001063,0.899982
39,STTC,STTC,0.607434,STTC,0.606646,0.006064,0.326129,0.607434,0.057345,0.003028
40,NORM,NORM,0.796845,NORM,0.818812,0.796845,0.009583,0.124887,0.052448,0.016237
41,HYP,STTC,0.563999,STTC,0.549223,0.000192,0.109808,0.563999,0.070492,0.255509
42,NORM,NORM,0.842699,NORM,0.858734,0.842699,0.029214,0.049595,0.042717,0.035775
43,NORM,NORM,0.592321,NORM,0.610674,0.592321,0.001822,0.012332,0.098218,0.295306
44,CD,NORM,0.645485,NORM,0.676731,0.645485,0.014909,0.080791,0.223359,0.035456
45,CD,NORM,0.860679,NORM,0.873976,0.860679,0.031478,0.006442,0.055091,0.046309
46,STTC,STTC,0.603507,STTC,0.581786,0.055106,0.040121,0.603507,0.031067,0.270199
47,NORM,NORM,0.777535,NORM,0.795351,0.777535,0.067069,0.037888,0.022637,0.094871
48,STTC,STTC,0.638205,STTC,0.620248,0.170579,0.076743,0.638205,0.101677,0.012796
49,NORM,NORM,0.504654,NORM,0.539196,0.504654,0.006995,0.002464,0.431374,0.054514
50,NORM,HYP,0.473949,HYP,0.472283,0.365952,0.002604,0.018153,0.139342,0.473949
51,STTC,STTC,0.569095,STTC,0.547568,0.241839,0.176130,0.569095,0.011257,0.001679
52,MI,CD,0.432661,CD,0.405165,0.287254,0.074702,0.002133,0.432661,0.203251
53,NORM,NORM,0.590586,NORM,0.621955,0.590586,0.089972,0.019901,0.226705,0.072836
54,CD,CD,0.793231,CD,0.775779,0.111259,0.051299,0.001515,0.793231,0.042696
55,HYP,HYP,0.642334,HYP,0.664412,0.005518,0.044025,0.200548,0.107575,0.642334
56,NORM,NORM,0.584942,NORM,0.617969,0.584942,0.135552,0.212158,0.019081,0.048266
57,NORM,NORM,0.587496,NORM,0.622102,0.587496,0.036786,0.003699,0.351792,0.020227
58,CD,NORM,0.497051,NORM,0.525677,0.497051,0.064974,0.003716,0.261903,0.172356
59,STTC,STTC,0.518816,STTC,0.515999,0.021777,0.425861,0.518816,0.015134,0.018411
60,NORM,NORM,0.899978,NORM,0.912264,0.899978,0.005081,0.005018,0.084782,0.005141
61,CD,CD,0.334344,CD,0.328517,0.006560,0.272127,0.228411,0.334344,0.158558
62,MI,MI,0.790423,MI,0.790288,0.000647,0.790423,0.006779,0.201527,0.000624
63,HYP,HYP,0.954439,HYP,0.957230,0.009693,0.000592,0.032737,0.002539,0.954439
64,MI,STTC,0.466244,STTC,0.464377,0.009796,0.311701,0.466244,0.189116,0.023143
65,STTC,STTC,0.511522,STTC,0.508143,0.038977,0.379192,0.511522,0.067060,0.003249
66,STTC,HYP,0.761447,HYP,0.778951,0.001566,0.020789,0.213659,0.002540,0.761447
67,NORM,NORM,0.528562,NORM,0.557320,0.528562,0.194865,0.004793,0.116392,0.155389
68,STTC,MI,0.795462,MI,0.795044,0.002976,0.795462,0.184503,0.016638,0.000421
69,CD,CD,0.743080,CD,0.742667,0.001167,0.206922,0.045330,0.743080,0.003500
70,NORM,NORM,0.760664,NORM,0.783047,0.760664,0.013140,0.052495,0.121194,0.052507
71,STTC,STTC,0.565896,STTC,0.564082,0.004694,0.211772,0.565896,0.194283,0.023354
72,MI,MI,0.787904,MI,0.786567,0.007076,0.787904,0.168896,0.030855,0.005269
73,NORM,NORM,0.798670,NORM,0.818971,0.798670,0.015662,0.041992,0.107718,0.035958
74,NORM,NORM,0.512444,NORM,0.549222,0.512444,0.006729,0.001599,0.468745,0.010483
75,CD,CD,0.704795,CD,0.704462,0.000648,0.285243,0.005820,0.704795,0.003493
76,NORM,NORM,0.469154,NORM,0.484438,0.469154,0.006914,0.030032,0.025574,0.468325
77,CD,CD,0.952516,CD,0.951228,0.005327,0.035740,0.001738,0.952516,0.004679
78,NORM,STTC,0.475139,STTC,0.445657,0.405819,0.092131,0.475139,0.022366,0.004545
79,CD,NORM,0.525366,NORM,0.546260,0.525366,0.025084,0.075235,0.066500,0.307815
80,CD,CD,0.807803,CD,0.807428,0.002018,0.157615,0.031256,0.807803,0.001309
81,NORM,NORM,0.598643,NORM,0.633899,0.598643,0.282809,0.016005,0.099371,0.003171
82,CD,CD,0.608934,CD,0.608591,0.001297,0.330720,0.055674,0.608934,0.003375
83,NORM,NORM,0.670678,NORM,0.696899,0.670678,0.168699,0.005898,0.063622,0.091102
84,NORM,NORM,0.637885,NORM,0.669515,0.637885,0.020131,0.006986,0.299686,0.035313
85,STTC,STTC,0.417495,STTC,0.410643,0.084721,0.104120,0.417495,0.365360,0.028304
86,MI,MI,0.636359,MI,0.634686,0.014664,0.636359,0.004257,0.342220,0.002500
87,CD,CD,0.804650,CD,0.783687,0.147894,0.020191,0.000493,0.804650,0.026772
88,NORM,NORM,0.780922,NORM,0.802676,0.780922,0.007137,0.021706,0.152518,0.037716
89,NORM,NORM,0.496423,NORM,0.533524,0.496423,0.453698,0.002779,0.040437,0.006663
90,STTC,HYP,0.470692,HYP,0.486535,0.121602,0.099299,0.300594,0.007814,0.470692
91,NORM,NORM,0.666756,NORM,0.697055,0.666756,0.245024,0.013502,0.042107,0.032610
92,NORM,NORM,0.756085,NORM,0.782310,0.756085,0.059760,0.002880,0.176265,0.005009
93,MI,MI,0.787405,MI,0.786829,0.004372,0.787405,0.194875,0.013118,0.000230
94,NORM,NORM,0.774313,NORM,0.798854,0.774313,0.066158,0.059927,0.091691,0.007912
95,NORM,NORM,0.742710,NORM,0.763946,0.742710,0.023319,0.004607,0.140542,0.088823
96,CD,CD,0.887976,CD,0.879355,0.054764,0.041339,0.006979,0.887976,0.008943
97,NORM,STTC,0.570042,STTC,0.543606,0.246710,0.069513,0.570042,0.030970,0.082765
98,MI,NORM,0.611069,NORM,0.628598,0.611069,0.073535,0.011023,0.013955,0.290419
99,NORM,STTC,0.655801,STTC,0.649122,0.061083,0.173183,0.655801,0.106091,0.003843
100,CD,CD,0.549633,CD,0.539436,0.112944,0.058772,0.272711,0.549633,0.005940
101,MI,MI,0.510437,MI,0.509266,0.013445,0.510437,0.429244,0.045708,0.001166
102,NORM,NORM,0.434186,NORM,0.457962,0.434186,0.044954,0.107833,0.115889,0.297138
103,MI,MI,0.679783,MI,0.677964,0.015154,0.679783,0.296677,0.006205,0.002181
104,STTC,NORM,0.657047,NORM,0.681898,0.657047,0.006994,0.042743,0.168083,0.125132
105,NORM,NORM,0.677406,NORM,0.708472,0.677406,0.159409,0.070500,0.080694,0.011991
106,NORM,NORM,0.623795,NORM,0.653278,0.623795,0.084925,0.177480,0.033472,0.080327
107,NORM,NORM,0.844643,NORM,0.863116,0.844643,0.093745,0.030476,0.028519,0.002618
108,NORM,NORM,0.821727,NORM,0.842313,0.821727,0.011000,0.018485,0.144459,0.004329
109,NORM,NORM,0.910918,NORM,0.920524,0.910918,0.003970,0.052284,0.011038,0.021791
110,CD,NORM,0.634303,NORM,0.667850,0.634303,0.021175,0.001455,0.335252,0.007815
111,NORM,NORM,0.847446,NORM,0.864874,0.847446,0.085463,0.001765,0.053191,0.012134
112,HYP,MI,0.625715,MI,0.615400,0.052168,0.625715,0.176934,0.066077,0.079106
113,MI,MI,0.659308,MI,0.654237,0.047567,0.659308,0.070858,0.221767,0.000501
114,NORM,NORM,0.554363,NORM,0.589714,0.554363,0.005379,0.010475,0.406288,0.023496
115,CD,CD,0.880990,CD,0.866440,0.092824,0.009014,0.000338,0.880990,0.016834
116,NORM,NORM,0.511550,NORM,0.546793,0.511550,0.125023,0.001955,0.321887,0.039584
117,NORM,NORM,0.588026,NORM,0.604823,0.588026,0.001902,0.005500,0.077432,0.327140
118,CD,CD,0.665994,CD,0.665226,0.004089,0.231240,0.093995,0.665994,0.004682
119,STTC,STTC,0.910083,STTC,0.906588,0.021244,0.043317,0.910083,0.021400,0.003956
120,MI,MI,0.671571,MI,0.671173,0.001686,0.671571,0.291295,0.032404,0.003045
121,CD,CD,0.642131,CD,0.630464,0.046900,0.199444,0.007732,0.642131,0.103793
122,STTC,STTC,0.756323,STTC,0.734039,0.153724,0.012875,0.756323,0.024965,0.052112
123,HYP,STTC,0.437078,STTC,0.430810,0.002965,0.133399,0.437078,0.292792,0.133766
124,MI,STTC,0.666998,STTC,0.650242,0.026275,0.044476,0.666998,0.057662,0.204589
125,NORM,NORM,0.732045,NORM,0.759075,0.732045,0.046972,0.002554,0.199480,0.018949
126,NORM,NORM,0.532426,NORM,0.569282,0.532426,0.397725,0.003015,0.062539,0.004295
127,NORM,HYP,0.585702,HYP,0.576178,0.382126,0.020172,0.003141,0.008860,0.585702
128,NORM,NORM,0.656734,NORM,0.688480,0.656734,0.003275,0.002419,0.318748,0.018824
129,MI,CD,0.760241,CD,0.760125,0.000350,0.237996,0.000502,0.760241,0.000911
130,NORM,NORM,0.750774,NORM,0.772329,0.750774,0.001984,0.005081,0.166972,0.075189
131,STTC,STTC,0.507155,STTC,0.505030,0.018215,0.270361,0.507155,0.192299,0.011971
132,NORM,NORM,0.872767,NORM,0.886677,0.872767,0.016529,0.005862,0.082373,0.022469
133,NORM,NORM,0.651647,NORM,0.674038,0.651647,0.102431,0.026042,0.050821,0.169058
134,CD,CD,0.679466,CD,0.676502,0.000868,0.205223,0.074109,0.679466,0.040333
135,NORM,NORM,0.906079,NORM,0.917572,0.906079,0.035257,0.028615,0.023890,0.006159
136,NORM,NORM,0.688779,NORM,0.702402,0.688779,0.014816,0.013572,0.018183,0.264649
137,NORM,NORM,0.852910,NORM,0.870058,0.852910,0.116239,0.004251,0.017992,0.008608
138,NORM,NORM,0.558000,NORM,0.594336,0.558000,0.028967,0.180237,0.228046,0.004751
139,CD,CD,0.774952,CD,0.753621,0.164704,0.043306,0.001350,0.774952,0.015688
140,NORM,NORM,0.759963,NORM,0.785960,0.759963,0.110959,0.098810,0.026308,0.003959
141,NORM,NORM,0.662612,NORM,0.675971,0.662612,0.011007,0.005573,0.019975,0.300834
142,CD,CD,0.622291,CD,0.610605,0.017100,0.148474,0.056488,0.622291,0.155648
143,NORM,CD,0.465674,CD,0.455091,0.109787,0.097413,0.274950,0.465674,0.052176
144,NORM,NORM,0.743681,NORM,0.769860,0.743681,0.026279,0.035978,0.175294,0.018767
145,NORM,NORM,0.860546,NORM,0.876615,0.860546,0.040258,0.039888,0.047228,0.012081
146,NORM,CD,0.844020,CD,0.835523,0.058187,0.088900,0.001737,0.844020,0.007157
147,STTC,STTC,0.862463,STTC,0.851849,0.074951,0.041657,0.862463,0.017790,0.003139
148,NORM,MI,0.690864,MI,0.685258,0.014284,0.690864,0.103959,0.135091,0.055802
149,NORM,NORM,0.438214,NORM,0.457245,0.438214,0.029061,0.034910,0.093151,0.404664
150,CD,CD,0.494388,CD,0.490539,0.047191,0.376259,0.080170,0.494388,0.001992
151,HYP,HYP,0.829148,HYP,0.828747,0.114331,0.003135,0.026898,0.026488,0.829148
152,CD,CD,0.748862,CD,0.745585,0.011979,0.088652,0.127139,0.748862,0.023368
153,NORM,NORM,0.740961,NORM,0.768112,0.740961,0.088682,0.002254,0.159982,0.008120
154,NORM,CD,0.577403,CD,0.550299,0.297385,0.111336,0.003180,0.577403,0.010696
155,NORM,NORM,0.704711,NORM,0.734663,0.704711,0.012780,0.003418,0.275107,0.003985
156,STTC,NORM,0.797703,NORM,0.820609,0.797703,0.067682,0.070566,0.061125,0.002924
157,MI,CD,0.457525,CD,0.456507,0.008246,0.397001,0.128725,0.457525,0.008504
158,NORM,NORM,0.888899,NORM,0.900855,0.888899,0.047469,0.013646,0.025639,0.024347
159,NORM,NORM,0.380886,NORM,0.415548,0.380886,0.031698,0.231339,0.324869,0.031209
160,NORM,NORM,0.791738,NORM,0.814817,0.791738,0.050397,0.103469,0.046834,0.007563
161,HYP,HYP,0.496288,HYP,0.486343,0.466992,0.008752,0.008556,0.019412,0.496288
162,NORM,NORM,0.750574,NORM,0.763135,0.750574,0.003713,0.003696,0.040049,0.201968
163,NORM,NORM,0.899852,NORM,0.910393,0.899852,0.042582,0.005567,0.025801,0.026197
164,MI,NORM,0.641162,NORM,0.674559,0.641162,0.313590,0.004301,0.035713,0.005235
165,NORM,NORM,0.626903,NORM,0.642092,0.626903,0.020605,0.005371,0.034335,0.312786
166,NORM,NORM,0.634558,NORM,0.657649,0.634558,0.054154,0.064899,0.071934,0.174455
167,NORM,NORM,0.477116,NORM,0.513523,0.477116,0.164908,0.008263,0.328312,0.021401
168,STTC,NORM,0.446178,NORM,0.483279,0.446178,0.050752,0.430296,0.068646,0.004128
169,HYP,HYP,0.596290,HYP,0.589027,0.346569,0.006338,0.015390,0.035413,0.596290
170,MI,CD,0.553380,CD,0.553339,0.000338,0.444647,0.001466,0.553380,0.000169
171,STTC,STTC,0.743372,STTC,0.727792,0.006200,0.034819,0.743372,0.021599,0.194010
172,MI,MI,0.537992,MI,0.515121,0.270470,0.537992,0.150781,0.034774,0.005983
173,CD,NORM,0.599936,NORM,0.634889,0.599936,0.106298,0.100058,0.186281,0.007427
174,CD,CD,0.914952,CD,0.914418,0.001294,0.070691,0.009501,0.914952,0.003562
175,HYP,HYP,0.593203,HYP,0.610336,0.072659,0.117516,0.167345,0.049278,0.593203
176,STTC,STTC,0.701462,STTC,0.683165,0.032152,0.045921,0.701462,0.015277,0.205188
177,HYP,NORM,0.668266,NORM,0.694638,0.668266,0.101318,0.000879,0.138490,0.091047
178,STTC,STTC,0.703730,STTC,0.702333,0.001928,0.264261,0.703730,0.014132,0.015948
179,NORM,STTC,0.711684,STTC,0.691445,0.163206,0.045716,0.711684,0.052228,0.027166
180,NORM,NORM,0.826668,NORM,0.844577,0.826668,0.050980,0.006458,0.083428,0.032467
181,NORM,NORM,0.882485,NORM,0.896745,0.882485,0.041884,0.020994,0.049487,0.005151
182,STTC,MI,0.587693,MI,0.582397,0.025923,0.587693,0.279550,0.060265,0.046569
183,NORM,NORM,0.430094,NORM,0.466440,0.430094,0.169303,0.369289,0.015178,0.016136
184,NORM,NORM,0.593700,NORM,0.629098,0.593700,0.134418,0.119261,0.149005,0.003616
185,NORM,NORM,0.704674,NORM,0.734596,0.704674,0.004777,0.008762,0.277330,0.004458
186,NORM,NORM,0.963799,NORM,0.968167,0.963799,0.005312,0.009439,0.015577,0.005873
187,HYP,HYP,0.571394,HYP,0.565036,0.355378,0.029098,0.008807,0.035324,0.571394
188,HYP,CD,0.654265,CD,0.623611,0.247415,0.011121,0.000535,0.654265,0.086664
189,MI,MI,0.314876,NORM,0.316868,0.289174,0.314876,0.157686,0.109976,0.128287
190,CD,CD,0.815398,CD,0.815377,0.000110,0.184114,0.000306,0.815398,0.000072
191,CD,CD,0.635674,CD,0.616519,0.190981,0.171070,0.000743,0.635674,0.001532
192,NORM,NORM,0.855840,NORM,0.872781,0.855840,0.063671,0.055104,0.017987,0.007398
193,NORM,NORM,0.541177,NORM,0.563323,0.541177,0.028140,0.004811,0.154143,0.271729
194,NORM,NORM,0.622606,NORM,0.646661,0.622606,0.037992,0.001956,0.167650,0.169795
195,STTC,STTC,0.699037,STTC,0.690196,0.003040,0.147074,0.699037,0.033741,0.117108
196,NORM,NORM,0.597625,NORM,0.633005,0.597625,0.288755,0.001760,0.110136,0.001724
197,NORM,NORM,0.776618,NORM,0.801193,0.776618,0.012499,0.110962,0.095031,0.004890
198,NORM,NORM,0.661696,NORM,0.693236,0.661696,0.052485,0.012379,0.255485,0.017956
199,NORM,NORM,0.437547,NORM,0.474428,0.437547,0.006409,0.316854,0.232477,0.006712
200,NORM,CD,0.519081,NORM,0.507134,0.470074,0.001557,0.001128,0.519081,0.008160
201,NORM,NORM,0.687461,NORM,0.704590,0.687461,0.005986,0.011147,0.083034,0.212371
202,NORM,NORM,0.521291,NORM,0.557925,0.521291,0.146010,0.001745,0.319683,0.011270
203,NORM,NORM,0.628944,NORM,0.661964,0.628944,0.001137,0.007741,0.342245,0.019932
204,STTC,MI,0.674963,MI,0.659837,0.141122,0.674963,0.137022,0.046081,0.000812
205,MI,MI,0.933171,MI,0.931788,0.008960,0.933171,0.021579,0.035969,0.000321
206,NORM,NORM,0.823873,NORM,0.843850,0.823873,0.028121,0.006812,0.131712,0.009482
207,HYP,NORM,0.833091,NORM,0.851336,0.833091,0.012218,0.039229,0.095379,0.020082
208,NORM,NORM,0.694625,NORM,0.725387,0.694625,0.201005,0.029798,0.073151,0.001420
209,MI,MI,0.715470,MI,0.708610,0.059679,0.715470,0.189399,0.035234,0.000217
210,MI,STTC,0.725798,STTC,0.710422,0.019286,0.047990,0.725798,0.030810,0.176116
211,NORM,NORM,0.806343,NORM,0.828326,0.806343,0.028967,0.013884,0.145986,0.004820
212,MI,MI,0.486106,MI,0.463838,0.290444,0.486106,0.018494,0.195410,0.009546
213,NORM,NORM,0.907723,NORM,0.919163,0.907723,0.014908,0.011973,0.060895,0.004500
214,NORM,NORM,0.674772,NORM,0.704728,0.674772,0.168207,0.011246,0.114894,0.030880
215,HYP,NORM,0.464263,NORM,0.483302,0.464263,0.023949,0.083746,0.038867,0.389176
216,NORM,NORM,0.521000,NORM,0.557789,0.521000,0.040757,0.361359,0.068415,0.008469
217,STTC,MI,0.453080,MI,0.439950,0.099837,0.453080,0.243716,0.073219,0.130148
218,MI,STTC,0.513412,STTC,0.512675,0.000946,0.463163,0.513412,0.010266,0.012214
219,NORM,NORM,0.743476,NORM,0.760034,0.743476,0.013714,0.006363,0.082384,0.154062
220,NORM,NORM,0.762224,NORM,0.788090,0.762224,0.077386,0.097936,0.059141,0.003313
221,NORM,NORM,0.734381,NORM,0.761859,0.734381,0.219974,0.023974,0.011385,0.010286
222,NORM,NORM,0.578975,NORM,0.614743,0.578975,0.300617,0.001523,0.113777,0.005108
223,NORM,HYP,0.667223,HYP,0.664939,0.239719,0.009501,0.072595,0.010961,0.667223
224,MI,MI,0.898060,MI,0.897592,0.002823,0.898060,0.060174,0.038330,0.000614
225,NORM,NORM,0.412547,NORM,0.448621,0.412547,0.165422,0.000750,0.405637,0.015645
226,NORM,HYP,0.667834,HYP,0.659881,0.298167,0.003591,0.002934,0.027475,0.667834
227,HYP,HYP,0.439550,HYP,0.463914,0.005560,0.157882,0.278126,0.118882,0.439550
228,NORM,NORM,0.892673,NORM,0.901857,0.892673,0.034717,0.005275,0.014686,0.052649
229,NORM,NORM,0.782032,NORM,0.805757,0.782032,0.020954,0.110609,0.076265,0.010140
230,NORM,NORM,0.677495,NORM,0.706359,0.677495,0.015291,0.005193,0.257183,0.044837
231,NORM,CD,0.540418,CD,0.509946,0.364536,0.085570,0.002229,0.540418,0.007246
232,MI,CD,0.547812,CD,0.513850,0.404270,0.040183,0.001384,0.547812,0.006351
233,STTC,MI,0.736252,MI,0.734587,0.007903,0.736252,0.200205,0.046250,0.009390
234,NORM,NORM,0.885888,NORM,0.897707,0.885888,0.003234,0.011092,0.069635,0.030151
235,NORM,NORM,0.667116,NORM,0.698319,0.667116,0.197522,0.038514,0.078233,0.018615
236,STTC,STTC,0.654073,STTC,0.652973,0.001259,0.137842,0.654073,0.192736,0.014089
237,MI,MI,0.567669,MI,0.567453,0.000874,0.567669,0.371872,0.057320,0.002265
238,NORM,NORM,0.621385,NORM,0.645842,0.621385,0.003529,0.122658,0.088176,0.164252
239,MI,MI,0.543849,MI,0.539944,0.028539,0.543849,0.004077,0.398689,0.024845
240,NORM,NORM,0.675785,NORM,0.707266,0.675785,0.139062,0.007709,0.170256,0.007187
241,HYP,NORM,0.331403,NORM,0.359743,0.331403,0.295947,0.201245,0.012845,0.158559
242,NORM,NORM,0.788789,NORM,0.812105,0.788789,0.019517,0.002577,0.181285,0.007832
243,NORM,HYP,0.530924,HYP,0.521086,0.433779,0.005731,0.019275,0.010291,0.530924
244,NORM,HYP,0.575572,HYP,0.572359,0.314155,0.026311,0.009637,0.074324,0.575572
245,STTC,STTC,0.821869,STTC,0.805523,0.117283,0.015731,0.821869,0.032637,0.012480
246,CD,CD,0.566351,CD,0.566159,0.000282,0.426110,0.004466,0.566351,0.002790
247,STTC,STTC,0.636989,STTC,0.619999,0.165279,0.179981,0.636989,0.011519,0.006232
248,NORM,NORM,0.912316,NORM,0.923302,0.912316,0.006834,0.058895,0.018474,0.003481
249,MI,STTC,0.573815,STTC,0.569986,0.040257,0.358837,0.573815,0.025159,0.001932
250,MI,STTC,0.571968,STTC,0.571539,0.001535,0.319305,0.571968,0.102425,0.004767
251,STTC,STTC,0.478794,STTC,0.472896,0.076334,0.424276,0.478794,0.019463,0.001133
252,NORM,NORM,0.906962,NORM,0.916943,0.906962,0.001933,0.008965,0.059223,0.022917
253,STTC,STTC,0.796153,STTC,0.782849,0.006960,0.038097,0.796153,0.007911,0.150880
254,STTC,HYP,0.653445,HYP,0.675603,0.001245,0.031887,0.286108,0.027316,0.653445
255,STTC,MI,0.657065,MI,0.649572,0.063044,0.657065,0.241615,0.025600,0.012676
256,HYP,HYP,0.677692,HYP,0.678816,0.198146,0.010195,0.037712,0.076255,0.677692
257,NORM,NORM,0.893647,NORM,0.906033,0.893647,0.003532,0.005443,0.084735,0.012642
258,CD,NORM,0.498254,NORM,0.535613,0.498254,0.228595,0.151621,0.119997,0.001533
259,STTC,STTC,0.809688,STTC,0.794863,0.109204,0.047227,0.809688,0.024592,0.009290
260,CD,CD,0.852864,CD,0.852438,0.001681,0.138368,0.004923,0.852864,0.002165
261,NORM,MI,0.481932,MI,0.467031,0.187016,0.481932,0.010356,0.305114,0.015583
262,STTC,STTC,0.495763,STTC,0.493950,0.003203,0.419695,0.495763,0.051363,0.029976
263,STTC,STTC,0.819551,STTC,0.816612,0.017474,0.127568,0.819551,0.028074,0.007333
264,STTC,STTC,0.697152,STTC,0.695643,0.010713,0.236050,0.697152,0.051941,0.004145
265,NORM,NORM,0.811267,NORM,0.832689,0.811267,0.025768,0.068288,0.088464,0.006214
266,NORM,NORM,0.817766,NORM,0.838546,0.817766,0.020446,0.057591,0.097547,0.006650
267,NORM,NORM,0.649311,NORM,0.674144,0.649311,0.001670,0.011081,0.205235,0.132702
268,STTC,STTC,0.847198,STTC,0.843717,0.022352,0.101074,0.847198,0.024532,0.004843
269,STTC,STTC,0.687419,STTC,0.676716,0.082245,0.135462,0.687419,0.071049,0.023826
270,STTC,MI,0.638170,MI,0.636028,0.020528,0.638170,0.330766,0.010090,0.000446
271,NORM,NORM,0.507129,NORM,0.533683,0.507129,0.010298,0.207307,0.066515,0.208751
272,NORM,NORM,0.862298,NORM,0.878465,0.862298,0.002760,0.075619,0.050731,0.008592
273,MI,MI,0.850967,MI,0.850723,0.001468,0.850967,0.050065,0.097022,0.000478
274,NORM,NORM,0.694079,NORM,0.724081,0.694079,0.006486,0.003994,0.282439,0.013002
275,CD,CD,0.815375,CD,0.804359,0.075261,0.091217,0.003733,0.815375,0.014414
276,NORM,NORM,0.648961,NORM,0.681032,0.648961,0.002530,0.040073,0.288498,0.019938
277,NORM,NORM,0.869418,NORM,0.879945,0.869418,0.046717,0.002043,0.013046,0.068776
278,NORM,NORM,0.653146,NORM,0.685345,0.653146,0.072795,0.208016,0.051333,0.014709
279,CD,STTC,0.486754,STTC,0.466468,0.263898,0.054135,0.486754,0.187800,0.007414
280,CD,MI,0.372207,MI,0.363510,0.147181,0.372207,0.149591,0.330012,0.001009
281,NORM,CD,0.707638,CD,0.684037,0.205103,0.073912,0.000886,0.707638,0.012461
282,CD,CD,0.709335,CD,0.689377,0.148614,0.095068,0.000394,0.709335,0.046589
283,STTC,STTC,0.596920,STTC,0.591705,0.023436,0.081091,0.596920,0.250811,0.047741
284,NORM,MI,0.428304,MI,0.410068,0.272177,0.428304,0.272226,0.023271,0.004022
285,STTC,HYP,0.632744,HYP,0.644425,0.114883,0.022893,0.202485,0.026995,0.632744
